Gesamtbetrag_Einkuenfte,Versorgungsbezuege
65946.28989766275,0.0
65931.6295810872,0.0
65895.83453280809,0.0
65995.12055976101,0.0
65965.77575974863,0.0
65815.44202779293,0.0
65812.77662189382,0.0
65821.55626626163,0.0
65810.07541203809,0.0
65819.2914806711,0.0
65817.66864728124,0.0
65822.68421230333,0.0
65811.42929082942,0.0
65810.85097661064,0.0
65818.57601044011,0.0
65810.97662659605,0.0
65815.7905248141,0.0
65818.42129127643,0.0
66342.35414364218,0.0
66345.92843012896,0.0
66329.41054304883,0.0
66339.46596676442,0.0
66357.7744022536,0.0
66344.84493564053,0.0
66349.97203930271,0.0
66319.8737982564,0.0
66342.5011102631,0.0
66351.69123064357,0.0
66344.00181764858,0.0
66335.75372434345,0.0
66512.77133558026,0.0
66489.14781153094,0.0
66482.11539890683,0.0
66498.4669341666,0.0
66513.55232658754,0.0
66521.46503630345,0.0
66521.9791454458,0.0
66518.50542021841,0.0
66503.45018852573,0.0
66478.28812331986,0.0
66523.64862304863,0.0
66200.13761743235,0.0
66191.33621012994,0.0
66200.51462681395,0.0
66187.61629165737,0.0
66185.93804631378,0.0
66204.37195859861,0.0
66181.94341337532,0.0
66189.15652478524,0.0
66186.88606337273,0.0
66190.87120868532,0.0
66195.7390473295,0.0
66199.5555515894,0.0
66197.2534069841,0.0
66203.8487520396,0.0
66205.02036694161,0.0
64988.23106462968,0.0
65013.661961326216,0.0
65013.83465211436,0.0
64992.08533186055,0.0
65038.30807614293,0.0
65034.388061202735,0.0
64994.39516876606,0.0
65020.95127655845,0.0
65000.1268068855,0.0
64999.46571897631,0.0
65027.687337467454,0.0
64994.47854445059,0.0
65002.69323761027,0.0
65063.59790216261,0.0
65062.668656156035,0.0
65069.63266337383,0.0
65148.20167968894,0.0
65153.22370330855,0.0
65159.26167926156,0.0
65187.62436481947,0.0
65148.95563094737,0.0
65188.824869210264,0.0
65187.95659610792,0.0
65289.680090966496,0.0
65288.699094786265,0.0
65274.88885418295,0.0
65305.29372171506,0.0
65271.76165638647,0.0
65276.468867911215,0.0
65259.858853509926,0.0
65276.31011461689,0.0
65258.669587527904,0.0
65299.28882132427,0.0
65290.642646738954,0.0
65305.2070612698,0.0
65471.77366128917,0.0
65567.45559283196,0.0
65513.853150100265,0.0
65500.58611062131,0.0
65543.54282182756,0.0
65657.09086791746,0.0
65643.02807464972,0.0
65673.62617758957,0.0
65648.64645820089,0.0
65634.81156514879,0.0
65659.95009473778,0.0
65640.3054796794,0.0
67770.16681315168,0.0
67656.04935744904,0.0
67796.8067142111,0.0
67737.62040307627,0.0
67774.6949368593,0.0
67435.36449249923,0.0
67432.30587501262,0.0
67444.88801019124,0.0
67475.25772336916,0.0
67433.94109709779,0.0
67466.89643326729,0.0
67466.2688856585,0.0
67450.03576459568,0.0
67433.5864503517,0.0
67429.80943010755,0.0
67471.16038959446,0.0
67436.00472676156,0.0
67456.81335566218,0.0
68042.94901679848,0.0
68049.32874782784,0.0
68032.94221519871,0.0
68017.76609033662,0.0
68031.10751704843,0.0
68049.15280423734,0.0
68117.22934432414,0.0
68019.29055126349,0.0
68107.30321405114,0.0
68020.56616819298,0.0
68030.91906378462,0.0
67829.76723516197,0.0
67854.79917635111,0.0
67905.25417161544,0.0
67833.07752682922,0.0
66606.3853713875,0.0
66605.38617354157,0.0
66606.98323882645,0.0
66623.12457036709,0.0
66610.81880788457,0.0
66615.27057841994,0.0
66623.21530544003,0.0
66583.02369473205,0.0
66667.31454378545,0.0
66639.15709265304,0.0
66634.33726349687,0.0
66642.52370587221,0.0
66706.00312822581,0.0
66709.68517141757,0.0
66745.43984560728,0.0
66753.28097416079,0.0
66777.0333448463,0.0
66781.69777686792,0.0
66783.55059792992,0.0
66777.30897287422,0.0
66824.2855920308,0.0
66808.27420231987,0.0
66787.14830795953,0.0
66843.45192354497,0.0
66807.69546850688,0.0
66757.46417094185,0.0
67271.91398395241,0.0
67370.23455700776,0.0
67288.39545678135,0.0
67329.07642127683,0.0
67276.30852915862,0.0
67314.41409790376,0.0
67131.2843855634,0.0
67077.17046272577,0.0
67077.00763273655,0.0
67156.96709753507,0.0
67156.09894939234,0.0
67097.15474539249,0.0
67141.46498904322,0.0
67075.437995962,0.0
67080.75360937681,0.0
61879.64255873821,0.0
61886.86587154791,0.0
61881.35988403931,0.0
61908.247062071314,0.0
61928.28772893051,0.0
61913.456414024215,0.0
61945.9182650007,0.0
61960.6293222843,0.0
61933.79523023459,0.0
61857.571029783336,0.0
61891.764992975324,0.0
61939.35115611234,0.0
62093.64239346217,0.0
62067.41983364494,0.0
62087.89586636119,0.0
62067.445070106514,0.0
62115.325677370834,0.0
62243.22878650455,0.0
62189.22529879759,0.0
62192.920072054425,0.0
62243.90509724135,0.0
62267.26640423501,0.0
61809.795183727365,0.0
61851.26418225489,0.0
61810.67688969537,0.0
61825.50140066409,0.0
61811.15230364766,0.0
61803.88212640168,0.0
61819.79563656562,0.0
61854.86446043169,0.0
61853.742255961006,0.0
61804.34972522444,0.0
61846.478220179175,0.0
61733.10386198016,0.0
61703.67365969694,0.0
61676.33864213707,0.0
61706.49598959781,0.0
61677.19822356063,0.0
61687.75259073306,0.0
61706.475677961,0.0
61504.50427091424,0.0
61524.65908775718,0.0
61501.73983895496,0.0
61484.63858065905,0.0
61507.130987466204,0.0
61493.98714551283,0.0
61502.55543790034,0.0
61483.67095645483,0.0
61503.58000250684,0.0
62354.59984400479,0.0
62478.20863015586,0.0
62349.910242071,0.0
62313.279472698174,0.0
62377.406662946785,0.0
62281.74230781081,0.0
62358.01914848301,0.0
